VDiode! (V),Current (A)
-0.724054703,-0.003320453
-0.724054703,-0.003320453
-0.724054703,-0.003316815
-0.723721731,-0.003316815
-0.723721731,-0.003313177
-0.723721731,-0.003309539
-0.723721731,-0.003309539
-0.723388758,-0.003305901
-0.723388758,-0.003302263
-0.723388758,-0.003302263
-0.723055785,-0.003298625
-0.723055785,-0.003294987
-0.723055785,-0.003294987
-0.723055785,-0.003291349
-0.722722813,-0.003287712
-0.723055785,-0.003287712
-0.722722813,-0.003284074
-0.722722813,-0.003280436
-0.722722813,-0.003280436
-0.722722813,-0.003276798
-0.72238984,-0.00327316
-0.72238984,-0.00327316
-0.72238984,-0.003269522
-0.72238984,-0.003265884
-0.722056868,-0.003265884
-0.722056868,-0.003262246
-0.722056868,-0.003258608
-0.722056868,-0.00325497
-0.722056868,-0.00325497
-0.721723895,-0.003251333
-0.721723895,-0.003251333
-0.721390922,-0.003247695
-0.721390922,-0.003244057
-0.721390922,-0.003244057
-0.72105795,-0.003240419
-0.721390922,-0.003236781
-0.72105795,-0.003233143
-0.72105795,-0.003233143
-0.72105795,-0.003229505
-0.720724977,-0.003229505
-0.720724977,-0.003225867
-0.720724977,-0.003222229
-0.720724977,-0.003218592
-0.720724977,-0.003218592
-0.720724977,-0.003214954
-0.720392004,-0.003214954
-0.720392004,-0.003211316
-0.720059032,-0.003211316
-0.720059032,-0.003207678
-0.720059032,-0.00320404
-0.720059032,-0.00320404
-0.720059032,-0.003200402
-0.719726059,-0.003196764
-0.719726059,-0.003196764
-0.719726059,-0.003193126
-0.719393087,-0.003189488
-0.719393087,-0.003189488
-0.719393087,-0.003185851
-0.719393087,-0.003182213
-0.719393087,-0.003182213
-0.719060114,-0.003178575
-0.719060114,-0.003174937
-0.719060114,-0.003171299
-0.719060114,-0.003171299
-0.719060114,-0.003167661
-0.718727141,-0.003167661
-0.718727141,-0.003164023
-0.718727141,-0.003164023
-0.718727141,-0.003160385
-0.718394169,-0.003156747
-0.718394169,-0.003153109
-0.718394169,-0.003153109
-0.718394169,-0.003149472
-0.718394169,-0.003145834
-0.718061196,-0.003145834
-0.718061196,-0.003142196
-0.718061196,-0.003138558
-0.718061196,-0.003138558
-0.717728224,-0.00313492
-0.717728224,-0.00313492
-0.717395251,-0.003131282
-0.717395251,-0.003127644
-0.717395251,-0.003124006
-0.717395251,-0.003124006
-0.717062278,-0.003120368
-0.717062278,-0.003116731
-0.717062278,-0.003116731
-0.717062278,-0.003113093
-0.716729306,-0.003109455
-0.716729306,-0.003109455
-0.716729306,-0.003105817
-0.716729306,-0.003105817
-0.716396333,-0.003102179
-0.716396333,-0.003098541
-0.716396333,-0.003098541
-0.716396333,-0.003094903
-0.71606336,-0.003091265
-0.71606336,-0.003091265
-0.71606336,-0.003087627
-0.71606336,-0.003087627
-0.715730388,-0.00308399
-0.715730388,-0.003080352
-0.715730388,-0.003080352
-0.715730388,-0.003073076
-0.715730388,-0.003073076
-0.715397415,-0.003069438
-0.715397415,-0.0030658
-0.715064443,-0.0030658
-0.715064443,-0.003062162
-0.715064443,-0.003062162
-0.715064443,-0.003058524
-0.715064443,-0.003054886
-0.715064443,-0.003054886
-0.71473147,-0.003051248
-0.71473147,-0.003047611
-0.71473147,-0.003047611
-0.714398497,-0.003043973
-0.714398497,-0.003040335
-0.714398497,-0.003040335
-0.714398497,-0.003036697
-0.714398497,-0.003036697
-0.714065525,-0.003033059
-0.714065525,-0.003029421
-0.714065525,-0.003025783
-0.714065525,-0.003025783
-0.713732552,-0.003022145
-0.713732552,-0.003018507
-0.713732552,-0.003018507
-0.713732552,-0.00301487
-0.71339958,-0.00301487
-0.71339958,-0.003011232
-0.71339958,-0.003007594
-0.71339958,-0.003003956
-0.71339958,-0.003003956
-0.713066607,-0.003000318
-0.713066607,-0.00299668
-0.713066607,-0.00299668
-0.712733634,-0.002993042
-0.712733634,-0.002993042
-0.712733634,-0.002989404
-0.712733634,-0.002985766
-0.712733634,-0.002982129
-0.712733634,-0.002982129
-0.712400662,-0.002978491
-0.712400662,-0.002978491
-0.712067689,-0.002974853
-0.712067689,-0.002971215
-0.712067689,-0.002971215
-0.712067689,-0.002967577
-0.711734717,-0.002963939
-0.711734717,-0.002963939
-0.711734717,-0.002960301
-0.711734717,-0.002956663
-0.711734717,-0.002956663
-0.711401744,-0.002953025
-0.711401744,-0.002949387
-0.711401744,-0.002949387
-0.711068771,-0.00294575
-0.711068771,-0.002942112
-0.711068771,-0.002942112
-0.711068771,-0.002938474
-0.710735799,-0.002934836
-0.710735799,-0.002934836
-0.710735799,-0.002931198
-0.710735799,-0.00292756
-0.710735799,-0.00292756
-0.710402826,-0.002923922
-0.710402826,-0.002920284
-0.710402826,-0.002920284
-0.710402826,-0.002916646
-0.710069853,-0.002913009
-0.710069853,-0.002909371
-0.710069853,-0.002909371
-0.710069853,-0.002905733
-0.709736881,-0.002902095
-0.709736881,-0.002902095
-0.709736881,-0.002898457
-0.709403908,-0.002894819
-0.709403908,-0.002894819
-0.709070936,-0.002891181
-0.709070936,-0.002891181
-0.709070936,-0.002887543
-0.709070936,-0.002883905
-0.709070936,-0.002880267
-0.708737963,-0.002880267
-0.708737963,-0.00287663
