Voltage(V),Current(A)
-1.862214663,-0.036602472
-1.862132261,-0.036600156
-1.862049478,-0.036597829
-1.861966313,-0.036595492
-1.861882766,-0.036593143
-1.861798836,-0.036590784
-1.861714521,-0.036588415
-1.861629822,-0.036586034
-1.861544736,-0.036583642
-1.861459263,-0.03658124
-1.861373403,-0.036578827
-1.861287154,-0.036576402
-1.861200516,-0.036573967
-1.861113487,-0.036571521
-1.861026067,-0.036569064
-1.860938255,-0.036566596
-1.86085005,-0.036564116
-1.860761451,-0.036561626
-1.860672457,-0.036559125
-1.860583068,-0.036556612
-1.860493282,-0.036554089
-1.860403099,-0.036551554
-1.860312517,-0.036549008
-1.860221536,-0.036546451
-1.860130155,-0.036543882
-1.860038374,-0.036541303
-1.85994619,-0.036538712
-1.859853604,-0.036536109
-1.859760614,-0.036533496
-1.85966722,-0.036530871
-1.859573421,-0.036528234
-1.859479215,-0.036525587
-1.859384602,-0.036522927
-1.859289582,-0.036520257
-1.859194152,-0.036517575
-1.859098313,-0.036514881
-1.859002063,-0.036512176
-1.858905402,-0.036509459
-1.858808328,-0.03650673
-1.858710842,-0.03650399
-1.858612941,-0.036501239
-1.858514625,-0.036498476
-1.858415893,-0.036495701
-1.858316745,-0.036492914
-1.858217179,-0.036490116
-1.858117194,-0.036487305
-1.85801679,-0.036484483
-1.857915966,-0.03648165
-1.857814721,-0.036478804
-1.857713053,-0.036475947
-1.857610963,-0.036473077
-1.857508449,-0.036470196
-1.857405511,-0.036467303
-1.857302147,-0.036464398
-1.857198356,-0.036461481
-1.857094138,-0.036458552
-1.856989492,-0.036455611
-1.856884417,-0.036452657
-1.856778913,-0.036449692
-1.856672977,-0.036446715
-1.85656661,-0.036443725
-1.85645981,-0.036440724
-1.856352576,-0.03643771
-1.856244909,-0.036434684
-1.856136806,-0.036431646
-1.856028267,-0.036428595
-1.855919291,-0.036425533
-1.855809877,-0.036422457
-1.855700025,-0.03641937
-1.855589733,-0.03641627
-1.855479,-0.036413158
-1.855367827,-0.036410034
-1.855256211,-0.036406897
-1.855144151,-0.036403748
-1.855031648,-0.036400586
-1.8549187,-0.036397411
-1.854805307,-0.036394224
-1.854691466,-0.036391025
-1.854577179,-0.036387813
-1.854462442,-0.036384589
-1.854347257,-0.036381351
-1.854231621,-0.036378102
-1.854115535,-0.036374839
-1.853998996,-0.036371564
-1.853882005,-0.036368276
-1.85376456,-0.036364975
-1.85364666,-0.036361662
-1.853528305,-0.036358336
-1.853409494,-0.036354997
-1.853290226,-0.036351645
-1.853170499,-0.03634828
-1.853050314,-0.036344902
-1.852929669,-0.036341512
-1.852808563,-0.036338108
-1.852686996,-0.036334692
-1.852564966,-0.036331262
-1.852442472,-0.03632782
-1.852319515,-0.036324365
-1.852196092,-0.036320896
-1.852072204,-0.036317414
-1.851947849,-0.03631392
-1.851823026,-0.036310412
-1.851697734,-0.036306891
-1.851571973,-0.036303356
-1.851445741,-0.036299809
-1.851319038,-0.036296248
-1.851191863,-0.036292674
-1.851064215,-0.036289087
-1.850936094,-0.036285487
-1.850807497,-0.036281873
-1.850678425,-0.036278245
-1.850548876,-0.036274605
-1.85041885,-0.036270951
-1.850288345,-0.036267283
-1.850157362,-0.036263602
-1.850025898,-0.036259908
-1.849893954,-0.0362562
-1.849761527,-0.036252479
-1.849628618,-0.036248744
-1.849495225,-0.036244995
-1.849361348,-0.036241233
-1.849226986,-0.036237457
-1.849092137,-0.036233668
-1.848956802,-0.036229864
-1.848820978,-0.036226048
-1.848684665,-0.036222217
-1.848547863,-0.036218373
-1.84841057,-0.036214515
-1.848272786,-0.036210643
-1.848134509,-0.036206757
-1.847995739,-0.036202857
-1.847856475,-0.036198944
-1.847716716,-0.036195017
-1.847576461,-0.036191075
-1.847435709,-0.03618712
-1.84729446,-0.036183151
-1.847152712,-0.036179168
-1.847010464,-0.03617517
-1.846867717,-0.036171159
-1.846724468,-0.036167134
-1.846580717,-0.036163094
-1.846436463,-0.036159041
-1.846291706,-0.036154973
-1.846146443,-0.036150891
-1.846000675,-0.036146795
-1.845854401,-0.036142685
-1.845707619,-0.03613856
-1.845560329,-0.036134421
-1.84541253,-0.036130268
-1.845264221,-0.036126101
-1.845115402,-0.036121919
-1.84496607,-0.036117723
-1.844816226,-0.036113512
-1.844665868,-0.036109287
-1.844514996,-0.036105048
-1.844363609,-0.036100794
-1.844211705,-0.036096526
-1.844059285,-0.036092243
-1.843906346,-0.036087945
-1.843752889,-0.036083633
-1.843598912,-0.036079307
-1.843444415,-0.036074965
-1.843289396,-0.03607061
-1.843133855,-0.036066239
-1.842977791,-0.036061854
-1.842821202,-0.036057454
-1.842664089,-0.036053039
-1.84250645,-0.03604861
-1.842348284,-0.036044166
-1.84218959,-0.036039707
-1.842030368,-0.036035233
-1.841870617,-0.036030744
-1.841710335,-0.036026241
-1.841549523,-0.036021722
-1.841388178,-0.036017189
-1.841226301,-0.03601264
-1.841063889,-0.036008077
-1.840900943,-0.036003498
-1.840737462,-0.035998905
-1.840573444,-0.035994296
-1.840408889,-0.035989673
-1.840243796,-0.035985034
-1.840078163,-0.03598038
-1.839911991,-0.035975711
-1.839745278,-0.035971027
-1.839578023,-0.035966328
-1.839410225,-0.035961613
-1.839241885,-0.035956883
-1.839072999,-0.035952138
-1.838903569,-0.035947378
-1.838733592,-0.035942602
-1.838563069,-0.035937811
-1.838391998,-0.035933005
-1.838220378,-0.035928183
-1.838048208,-0.035923345
-1.837875488,-0.035918493
-1.837702216,-0.035913624
-1.837528392,-0.035908741
-1.837354015,-0.035903841
-1.837179084,-0.035898926
-1.837003598,-0.035893996
-1.836827556,-0.03588905
-1.836650958,-0.035884088
-1.836473801,-0.035879111
-1.836296087,-0.035874118
-1.836117813,-0.035869109
-1.835938979,-0.035864085
-1.835759584,-0.035859045
-1.835579627,-0.035853989
-1.835399107,-0.035848917
-1.835218023,-0.03584383
-1.835036375,-0.035838726
-1.834854161,-0.035833607
-1.834671381,-0.035828472
-1.834488033,-0.035823321
-1.834304118,-0.035818154
-1.834119633,-0.035812971
-1.833934579,-0.035807772
-1.833748953,-0.035802557
-1.833562756,-0.035797326
-1.833375987,-0.035792079
-1.833188644,-0.035786816
-1.833000726,-0.035781536
-1.832812234,-0.035776241
-1.832623165,-0.035770929
-1.832433519,-0.035765602
