Voltage(V),Current(A)
-1.102926074,-0.04022772
-1.102908539,-0.040225991
-1.102890905,-0.040224251
-1.102873172,-0.040222502
-1.102855339,-0.040220742
-1.102837407,-0.040218974
-1.102819375,-0.040217195
-1.102801242,-0.040215406
-1.102783009,-0.040213607
-1.102764676,-0.040211799
-1.102746241,-0.04020998
-1.102727705,-0.040208152
-1.102709067,-0.040206313
-1.102690328,-0.040204465
-1.102671486,-0.040202606
-1.102652542,-0.040200737
-1.102633495,-0.040198858
-1.102614345,-0.040196969
-1.102595092,-0.04019507
-1.102575735,-0.040193161
-1.102556274,-0.040191241
-1.102536709,-0.040189311
-1.10251704,-0.040187371
-1.102497266,-0.04018542
-1.102477388,-0.040183459
-1.102457404,-0.040181488
-1.102437314,-0.040179506
-1.102417119,-0.040177514
-1.102396817,-0.040175512
-1.102376409,-0.040173499
-1.102355895,-0.040171475
-1.102335274,-0.040169441
-1.102314545,-0.040167396
-1.102293709,-0.040165341
-1.102272765,-0.040163275
-1.102251714,-0.040161199
-1.102230554,-0.040159112
-1.102209285,-0.040157014
-1.102187907,-0.040154905
-1.102166421,-0.040152786
-1.102144825,-0.040150656
-1.102123119,-0.040148515
-1.102101303,-0.040146363
-1.102079377,-0.0401442
-1.102057341,-0.040142026
-1.102035193,-0.040139842
-1.102012935,-0.040137646
-1.101990565,-0.04013544
-1.101968084,-0.040133223
-1.10194549,-0.040130994
-1.101922785,-0.040128755
-1.101899967,-0.040126504
-1.101877036,-0.040124242
-1.101853992,-0.040121969
-1.101830835,-0.040119685
-1.101807564,-0.04011739
-1.10178418,-0.040115084
-1.101760681,-0.040112766
-1.101737068,-0.040110437
-1.10171334,-0.040108097
-1.101689497,-0.040105745
-1.101665539,-0.040103382
-1.101641465,-0.040101008
-1.101617276,-0.040098622
-1.10159297,-0.040096225
-1.101568548,-0.040093816
-1.101544009,-0.040091396
-1.101519354,-0.040088964
-1.101494581,-0.040086521
-1.10146969,-0.040084066
-1.101444682,-0.040081599
-1.101419556,-0.040079121
-1.101394312,-0.040076631
-1.101368948,-0.04007413
-1.101343466,-0.040071617
-1.101317865,-0.040069092
-1.101292145,-0.040066555
-1.101266304,-0.040064007
-1.101240344,-0.040061447
-1.101214263,-0.040058874
-1.101188062,-0.04005629
-1.10116174,-0.040053694
-1.101135297,-0.040051087
-1.101108732,-0.040048467
-1.101082046,-0.040045835
-1.101055237,-0.040043191
-1.101028307,-0.040040535
-1.101001254,-0.040037867
-1.100974078,-0.040035187
-1.100946779,-0.040032495
-1.100919357,-0.040029791
-1.100891811,-0.040027074
-1.100864141,-0.040024345
-1.100836347,-0.040021604
-1.100808428,-0.040018851
-1.100780385,-0.040016086
-1.100752217,-0.040013308
-1.100723923,-0.040010518
-1.100695504,-0.040007715
-1.100666959,-0.0400049
-1.100638288,-0.040002073
-1.10060949,-0.039999233
-1.100580566,-0.039996381
-1.100551514,-0.039993516
-1.100522336,-0.039990638
-1.10049303,-0.039987748
-1.100463596,-0.039984846
-1.100434034,-0.039981931
-1.100404343,-0.039979003
-1.100374524,-0.039976063
-1.100344576,-0.039973109
-1.100314499,-0.039970143
-1.100284292,-0.039967165
-1.100253955,-0.039964173
-1.100223489,-0.039961169
-1.100192892,-0.039958152
-1.100162164,-0.039955122
-1.100131306,-0.039952079
-1.100100316,-0.039949024
-1.100069195,-0.039945955
-1.100037942,-0.039942873
-1.100006557,-0.039939778
-1.09997504,-0.039936671
-1.09994339,-0.03993355
-1.099911607,-0.039930416
-1.099879692,-0.039927269
-1.099847642,-0.039924109
-1.09981546,-0.039920936
-1.099783143,-0.039917749
-1.099750692,-0.03991455
-1.099718106,-0.039911337
-1.099685386,-0.03990811
-1.09965253,-0.039904871
-1.099619539,-0.039901618
-1.099586413,-0.039898352
-1.09955315,-0.039895072
-1.099519752,-0.039891779
-1.099486216,-0.039888473
-1.099452544,-0.039885153
-1.099418735,-0.03988182
-1.099384789,-0.039878473
-1.099350705,-0.039875112
-1.099316483,-0.039871738
-1.099282123,-0.03986835
-1.099247625,-0.039864949
-1.099212988,-0.039861534
-1.099178211,-0.039858106
-1.099143296,-0.039854663
-1.099108241,-0.039851207
-1.099073046,-0.039847737
-1.099037711,-0.039844254
-1.099002236,-0.039840756
-1.098966619,-0.039837245
-1.098930862,-0.03983372
-1.098894964,-0.039830181
-1.098858924,-0.039826628
-1.098822742,-0.039823061
-1.098786419,-0.03981948
-1.098749953,-0.039815885
-1.098713344,-0.039812276
-1.098676592,-0.039808652
-1.098639697,-0.039805015
-1.098602659,-0.039801364
-1.098565477,-0.039797698
-1.09852815,-0.039794019
-1.09849068,-0.039790325
-1.098453065,-0.039786617
-1.098415305,-0.039782894
-1.098377399,-0.039779158
-1.098339349,-0.039775407
-1.098301152,-0.039771641
-1.09826281,-0.039767862
-1.098224321,-0.039764068
-1.098185686,-0.039760259
-1.098146904,-0.039756436
-1.098107975,-0.039752599
-1.098068898,-0.039748747
-1.098029674,-0.03974488
-1.097990301,-0.039740999
-1.097950781,-0.039737104
-1.097911111,-0.039733193
-1.097871294,-0.039729269
-1.097831327,-0.039725329
-1.09779121,-0.039721375
-1.097750944,-0.039717406
-1.097710528,-0.039713422
-1.097669962,-0.039709423
-1.097629245,-0.03970541
-1.097588378,-0.039701382
-1.097547359,-0.039697339
-1.097506189,-0.039693281
-1.097464868,-0.039689208
-1.097423394,-0.03968512
-1.097381769,-0.039681018
-1.097339991,-0.0396769
-1.09729806,-0.039672767
-1.097255976,-0.039668619
-1.097213739,-0.039664456
-1.097171348,-0.039660278
-1.097128804,-0.039656085
-1.097086105,-0.039651877
-1.097043252,-0.039647653
-1.097000244,-0.039643415
-1.096957081,-0.039639161
-1.096913763,-0.039634891
-1.096870289,-0.039630607
-1.09682666,-0.039626307
-1.096782874,-0.039621992
-1.096738932,-0.039617661
-1.096694834,-0.039613315
-1.096650578,-0.039608954
-1.096606165,-0.039604577
-1.096561595,-0.039600184
-1.096516866,-0.039595776
-1.09647198,-0.039591353
-1.096426936,-0.039586914
-1.096381732,-0.039582459
-1.09633637,-0.039577989
-1.096290849,-0.039573503
-1.096245168,-0.039569001
-1.096199327,-0.039564484
-1.096153327,-0.039559951
-1.096107166,-0.039555402
-1.096060844,-0.039550837
-1.096014361,-0.039546257
-1.095967718,-0.03954166
-1.095920913,-0.039537048
-1.095873946,-0.03953242
-1.095826817,-0.039527776
-1.095779526,-0.039523116
-1.095732072,-0.03951844
-1.095684455,-0.039513748
-1.095636675,-0.03950904
-1.095588732,-0.039504316
-1.095540625,-0.039499576
-1.095492354,-0.03949482
-1.095443919,-0.039490047
-1.09539532,-0.039485259
-1.095346555,-0.039480454
-1.095297625,-0.039475633
-1.09524853,-0.039470795
-1.09519927,-0.039465942
-1.095149843,-0.039461072
-1.09510025,-0.039456186
-1.095050491,-0.039451283
-1.095000564,-0.039446364
-1.094950471,-0.039441428
-1.09490021,-0.039436477
-1.094849782,-0.039431508
-1.094799186,-0.039426523
-1.094748421,-0.039421522
-1.094697488,-0.039416504
-1.094646386,-0.039411469
-1.094595116,-0.039406418
-1.094543675,-0.03940135
-1.094492066,-0.039396266
-1.094440286,-0.039391165
-1.094388336,-0.039386047
-1.094336216,-0.039380912
-1.094283925,-0.039375761
-1.094231463,-0.039370593
-1.094178829,-0.039365408
-1.094126024,-0.039360206
-1.094073047,-0.039354987
-1.094019898,-0.039349751
