Time(s),Current(A)
0.015460491,1.31E-09
0.015585172,-4.99E-10
0.015710522,1.31E-09
0.015836543,-4.97E-10
0.015963235,1.31E-09
0.016090601,-4.96E-10
0.016218643,1.30E-09
0.016347362,-4.94E-10
0.016476761,1.30E-09
0.016606841,-4.92E-10
0.016737603,1.30E-09
0.016869051,-4.91E-10
0.017001184,1.30E-09
0.017134006,-4.89E-10
0.017267518,1.30E-09
0.017401721,-4.88E-10
0.017536618,1.30E-09
0.017672211,-4.86E-10
0.0178085,1.29E-09
0.017945489,-4.85E-10
0.018083178,1.29E-09
0.018221569,-4.83E-10
0.018360665,1.29E-09
0.018500467,-4.82E-10
0.018640977,1.29E-09
0.018782197,-4.80E-10
0.018924128,1.29E-09
0.019066772,-4.79E-10
0.019210131,1.29E-09
0.019354207,-4.77E-10
0.019499002,1.29E-09
0.019644517,-4.76E-10
0.019790754,1.28E-09
0.019937715,-4.74E-10
0.020085401,1.28E-09
0.020233816,-4.73E-10
0.020382959,1.28E-09
0.020532834,-4.72E-10
0.020683442,1.28E-09
0.020834784,-4.70E-10
0.020986863,1.28E-09
0.02113968,-4.69E-10
0.021293237,1.28E-09
0.021447535,-4.68E-10
0.021602578,1.28E-09
0.021758366,-4.66E-10
0.021914901,1.27E-09
0.022072185,-4.65E-10
0.022230219,1.27E-09
0.022389007,-4.64E-10
0.022548548,1.27E-09
0.022708846,-4.62E-10
0.022869902,1.27E-09
0.023031717,-4.61E-10
0.023194294,1.27E-09
0.023357634,-4.60E-10
0.023521739,1.27E-09
0.023686611,-4.59E-10
0.023852252,1.27E-09
0.024018663,-4.58E-10
0.024185846,1.27E-09
0.024353803,-4.56E-10
0.024522536,1.26E-09
0.024692047,-4.55E-10
0.024862337,1.26E-09
0.025033408,-4.54E-10
0.025205262,1.26E-09
0.025377901,-4.53E-10
0.025551326,1.26E-09
0.02572554,-4.52E-10
0.025900543,1.26E-09
0.026076339,-4.50E-10
0.026252928,1.26E-09
0.026430313,-4.49E-10
0.026608495,1.26E-09
0.026787476,-4.48E-10
0.026967257,1.26E-09
0.027147842,-4.47E-10
0.02732923,1.26E-09
0.027511425,-4.46E-10
0.027694428,1.25E-09
0.027878241,-4.45E-10
0.028062865,1.25E-09
0.028248302,-4.44E-10
0.028434555,1.25E-09
0.028621624,-4.43E-10
0.028809512,1.25E-09
0.028998221,-4.42E-10
0.029187752,1.25E-09
0.029378107,-4.41E-10
0.029569287,1.25E-09
0.029761296,-4.40E-10
0.029954133,1.25E-09
0.030147802,-4.39E-10
0.030342304,1.25E-09
0.030537641,-4.38E-10
0.030733814,1.25E-09
0.030930826,-4.37E-10
0.031128678,1.25E-09
0.031327371,-4.36E-10
0.031526909,1.24E-09
0.031727292,-4.35E-10
0.031928522,1.24E-09
0.032130601,-4.34E-10
0.032333531,1.24E-09
0.032537314,-4.33E-10
0.032741951,1.24E-09
0.032947445,-4.32E-10
0.033153796,1.24E-09
0.033361007,-4.31E-10
0.03356908,1.24E-09
0.033778016,-4.30E-10
0.033987818,1.24E-09
0.034198486,-4.29E-10
0.034410023,1.24E-09
0.034622431,-4.28E-10
0.03483571,1.24E-09
0.035049864,-4.27E-10
0.035264894,1.24E-09
0.035480802,-4.26E-10
0.035697589,1.23E-09
0.035915257,-4.25E-10
0.036133808,1.23E-09
0.036353244,-4.24E-10
0.036573567,1.23E-09
0.036794778,-4.24E-10
0.037016879,1.23E-09
0.037239873,-4.23E-10
0.03746376,1.23E-09
0.037688542,-4.22E-10
0.037914222,1.23E-09
0.038140801,-4.21E-10
0.038368281,1.23E-09
0.038596664,-4.20E-10
