Voltage(V),Current(A)
-3.281280107,-0.028411272
-3.281274611,-0.028402928
-3.2812691,-0.028394563
-3.281263572,-0.028386176
-3.281258029,-0.028377767
-3.281252469,-0.028369336
-3.281246893,-0.028360883
-3.281241301,-0.028352408
-3.281235693,-0.028343911
-3.281230069,-0.028335392
-3.281224428,-0.028326851
-3.281218771,-0.028318288
-3.281213098,-0.028309703
-3.281207408,-0.028301096
-3.281201702,-0.028292466
-3.28119598,-0.028283815
-3.281190241,-0.028275141
-3.281184485,-0.028266445
-3.281178713,-0.028257726
-3.281172925,-0.028248985
-3.28116712,-0.028240222
-3.281161298,-0.028231437
-3.28115546,-0.028222629
-3.281149605,-0.028213798
-3.281143733,-0.028204946
-3.281137844,-0.02819607
-3.281131939,-0.028187172
-3.281126017,-0.028178252
-3.281120077,-0.028169309
-3.281114121,-0.028160344
-3.281108148,-0.028151355
-3.281102158,-0.028142345
-3.281096152,-0.028133311
-3.281090128,-0.028124255
-3.281084087,-0.028115176
-3.281078028,-0.028106074
-3.281071953,-0.028096949
-3.281065861,-0.028087802
-3.281059751,-0.028078632
-3.281053624,-0.028069439
-3.28104748,-0.028060223
-3.281041318,-0.028050984
-3.281035139,-0.028041722
-3.281028943,-0.028032437
-3.281022729,-0.028023129
-3.281016498,-0.028013798
-3.281010249,-0.028004443
-3.281003983,-0.027995066
-3.280997699,-0.027985666
-3.280991397,-0.027976242
-3.280985078,-0.027966795
-3.280978742,-0.027957325
-3.280972387,-0.027947832
-3.280966015,-0.027938315
-3.280959625,-0.027928776
-3.280953217,-0.027919212
-3.280946791,-0.027909626
-3.280940348,-0.027900016
-3.280933886,-0.027890382
-3.280927406,-0.027880725
-3.280920909,-0.027871045
-3.280914393,-0.027861341
-3.28090786,-0.027851614
-3.280901308,-0.027841863
-3.280894738,-0.027832088
-3.28088815,-0.02782229
-3.280881543,-0.027812468
-3.280874919,-0.027802623
-3.280868276,-0.027792753
-3.280861614,-0.02778286
-3.280854935,-0.027772943
-3.280848236,-0.027763003
-3.28084152,-0.027753038
-3.280834785,-0.02774305
-3.280828031,-0.027733038
-3.280821259,-0.027723002
-3.280814468,-0.027712942
-3.280807658,-0.027702858
-3.28080083,-0.02769275
-3.280793983,-0.027682618
-3.280787118,-0.027672462
-3.280780233,-0.027662282
-3.28077333,-0.027652077
-3.280766407,-0.027641849
-3.280759466,-0.027631596
-3.280752506,-0.02762132
-3.280745527,-0.027611019
-3.280738529,-0.027600693
-3.280731511,-0.027590344
-3.280724475,-0.02757997
-3.280717419,-0.027569572
-3.280710345,-0.027559149
-3.280703251,-0.027548702
-3.280696137,-0.027538231
-3.280689005,-0.027527735
-3.280681853,-0.027517215
-3.280674681,-0.02750667
-3.28066749,-0.027496101
-3.28066028,-0.027485507
-3.28065305,-0.027474888
-3.280645801,-0.027464245
-3.280638532,-0.027453577
-3.280631243,-0.027442885
-3.280623934,-0.027432168
-3.280616606,-0.027421426
-3.280609258,-0.027410659
-3.280601891,-0.027399868
-3.280594503,-0.027389051
-3.280587096,-0.02737821
-3.280579668,-0.027367344
-3.280572221,-0.027356453
-3.280564753,-0.027345537
-3.280557266,-0.027334596
-3.280549758,-0.027323631
-3.28054223,-0.02731264
-3.280534682,-0.027301624
-3.280527114,-0.027290583
-3.280519525,-0.027279517
-3.280511917,-0.027268425
-3.280504287,-0.027257309
-3.280496638,-0.027246167
-3.280488968,-0.027235001
-3.280481277,-0.027223809
-3.280473566,-0.027212591
-3.280465834,-0.027201349
-3.280458082,-0.027190081
-3.280450309,-0.027178787
-3.280442515,-0.027167468
-3.2804347,-0.027156124
-3.280426865,-0.027144755
-3.280419009,-0.02713336
-3.280411132,-0.027121939
-3.280403234,-0.027110493
-3.280395315,-0.027099021
-3.280387375,-0.027087524
-3.280379414,-0.027076001
-3.280371431,-0.027064452
-3.280363428,-0.027052878
-3.280355403,-0.027041278
-3.280347358,-0.027029652
-3.28033929,-0.027018001
-3.280331202,-0.027006324
-3.280323092,-0.026994621
-3.280314961,-0.026982892
-3.280306808,-0.026971137
-3.280298633,-0.026959356
-3.280290438,-0.02694755
-3.28028222,-0.026935717
-3.280273981,-0.026923859
-3.28026572,-0.026911974
-3.280257437,-0.026900064
-3.280249132,-0.026888127
-3.280240806,-0.026876164
-3.280232458,-0.026864175
-3.280224087,-0.02685216
-3.280215695,-0.026840119
-3.280207281,-0.026828051
-3.280198845,-0.026815958
-3.280190386,-0.026803838
-3.280181905,-0.026791691
-3.280173402,-0.026779519
-3.280164877,-0.02676732
-3.280156329,-0.026755094
-3.280147759,-0.026742842
-3.280139167,-0.026730564
-3.280130552,-0.026718259
-3.280121914,-0.026705928
-3.280113254,-0.02669357
-3.280104572,-0.026681186
-3.280095866,-0.026668775
-3.280087138,-0.026656338
-3.280078387,-0.026643874
-3.280069613,-0.026631383
-3.280060817,-0.026618865
-3.280051997,-0.026606321
-3.280043155,-0.02659375
-3.280034289,-0.026581152
-3.280025401,-0.026568528
-3.280016489,-0.026555876
-3.280007554,-0.026543198
-3.279998596,-0.026530493
-3.279989614,-0.026517761
-3.279980609,-0.026505001
-3.279971581,-0.026492215
-3.279962529,-0.026479402
-3.279953454,-0.026466562
-3.279944355,-0.026453695
-3.279935233,-0.026440801
