#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-14 16:08:24.454
#Sample rate: 1.51515e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 0 V
#Math 1: Function: C2*-1

Time (s),Channel 1 (V),Math 1 (V)
0.0050311799999999997,0.012974453346618179,0.84550687455013585
0.0050318400000000001,0.012974453346619081,0.76259669392455964
0.0050325000000000005,0.013305332658382445,0.77458370799092358
0.0050331600000000001,0.013636211970145808,0.82819229867660682
0.0050338199999999996,0.01396709128190887,0.7988907087366327
0.00503448,0.013305332658382445,0.80954583235115174
0.0050351400000000004,0.012974453346619081,0.63640007361478357
0.0050358,0.014297970593672533,0.78956747557387852
0.0050364599999999995,0.013967091281909471,0.75993291302095023
0.00503712,0.014628849905435896,0.73396104921046801
0.0050377800000000004,0.015290608528962621,0.73895563840478629
0.0050384399999999999,0.015621487840725985,0.73429402182342252
0.0050391000000000003,0.015952367152489346,0.83152202480615234
0.0050397600000000008,0.016614125776015471,0.89112412252493978
0.0050404200000000003,0.015952367152489346,0.8055501609956971
0.0050410799999999999,0.01628324646425271,0.74727995372865019
0.0050417400000000003,0.015952367152489346,0.72097511730524033
0.0050424000000000007,0.015952367152490248,0.62774278567795427
0.0050430600000000003,0.016945005087779436,0.61575577161160122
0.0050437199999999998,0.017606763711306161,0.79589395522001505
0.0050443800000000002,0.017937643023069522,0.76625939266705978
0.0050450400000000006,0.018268522334832886,0.85116740897038234
0.0050457000000000002,0.018268522334832886,0.75360643337478672
0.0050463599999999997,0.018268522334832886,0.73229618614569525
0.0050470200000000002,0.018599401646596247,0.7006637879150126
0.0050476800000000006,0.018599401646596247,0.71231782936842192
0.0050483400000000001,0.018930280958359611,0.78956747557387852
0.0050489999999999997,0.018930280958359611,0.7509426524711853
0.0050496600000000001,0.019261160270122972,0.80155448964024245
0.0050503200000000005,0.020253798205413062,0.82719338083774319
0.0050509800000000001,0.019922918893649697,0.80887988712524272
0.0050516399999999996,0.02025379820541276,0.75493832382665393
0.0050523,0.020253798205413062,0.79855773612365144
0.0050529600000000004,0.020584677517176422,0.77025506402251442
0.00505362,0.021577315452466512,0.79522800999410592
0.0050542799999999995,0.021908194764229574,0.84850362806678625
0.00505494,0.022239074075993237,0.80688205144751535
0.0050556000000000004,0.022239074075993237,0.83152202480615234
0.0050562599999999999,0.022569953387756601,0.80188746225319707
0.0050569200000000003,0.022900832699519962,0.85150038158342556
0.0050575800000000008,0.022900832699520562,0.76958911879668135
0.0050582400000000003,0.023562591323046687,0.85316524464819843
0.0050588999999999999,0.024224349946573413,0.87147873836069889
0.0050595600000000003,0.023893470634810052,0.758601022569105
0.0050602200000000007,0.024555229258337079,0.8015544896402591
0.0050608800000000002,0.024886108570100138,0.81986798335274291
0.0050615399999999998,0.025547867193626863,0.90044735568774503
0.0050622000000000002,0.025216987881863502,0.88346575242706282
0.0050628600000000006,0.024886108570100738,0.75260751553592808
0.0050635200000000002,0.025547867193626863,0.75826804995615038
0.0050641799999999997,0.025547867193626863,0.80688205144751535
0.0050648400000000001,0.025216987881863502,0.70765621278705815
0.0050655000000000006,0.026209625817153588,0.69400433565592146
0.0050661600000000001,0.026540505128916952,0.74428320021205918
0.0050668199999999997,0.027202263752443077,0.72963240524207207
0.0050674800000000001,0.027202263752443678,0.73762374795296803
0.0050681400000000005,0.027533143064207042,0.66004112913455693
0.0050688,0.027864022375970403,0.74428320021205918
0.0050694599999999996,0.028194901687733465,0.69899892485028092
0.00507012,0.028194901687733767,0.61542279899864671
0.0050707800000000004,0.027864022375970403,0.61908549774114674
0.00507144,0.028194901687733767,0.60709848367478281
0.0050720999999999995,0.028856660311259892,0.68468110249312342
0.0050727600000000008,0.029187539623024453,0.66703355400669528
0.0050734200000000004,0.029849298246550578,0.76892317357069617
0.0050740799999999999,0.029849298246550578,0.82519554516001581
0.0050747400000000003,0.029849298246550578,0.7199761994663767
0.0050754000000000007,0.030180177558314245,0.76459452960223617
0.0050760600000000003,0.030511056870077304,0.70865513062592189
0.0050767199999999998,0.030180177558313943,0.57879581157364568
0.0050773800000000003,0.030511056870077304,0.62008441558001048
0.0050780400000000007,0.030511056870077904,0.59577741483433289
0.0050787000000000002,0.031172815493604032,0.6011049766416009
0.0050793599999999998,0.031834574117130754,0.72630267911251323
0.0050800200000000002,0.031834574117130754,0.71131891152955828
0.0050806800000000006,0.032165453428894722,0.63506818316306235
0.0050813400000000002,0.032827212052420847,0.74161941930842268
0.0050819999999999997,0.032827212052420847,0.76059885824683227
0.0050826600000000001,0.033488970675947569,0.82286473686933392
0.0050833200000000005,0.033488970675947569,0.83784850445228887
0.0050839800000000001,0.033819849987710933,0.85283227203524381
0.0050846399999999996,0.034150729299473999,0.89911546523588481
0.0050853000000000001,0.033819849987710933,0.80621610622160622
0.0050859600000000005,0.033819849987710933,0.8744754918772899
0.00508662,0.034481608611237655,0.8608236147461531
0.0050872799999999996,0.034481608611237655,0.84317606625957786
0.00508794,0.035143367234764383,0.78923450296092401
0.0050886000000000004,0.035143367234764383,0.75893399518205951
0.00508926,0.035474246546527748,0.80754799667342447
0.0050899199999999995,0.036136005170053866,0.78523883160548968
0.0050905800000000008,0.036136005170054768,0.79622692783292093
0.0050912400000000003,0.036466884481817834,0.74261833714728642
0.0050918999999999999,0.036466884481817834,0.813874476319561
0.0050925600000000003,0.036466884481817834,0.80455124315683346
0.0050932200000000007,0.036466884481818437,0.83218797003206513
0.0050938800000000003,0.037128643105344562,0.83618364138751611
0.0050945399999999998,0.037128643105344562,0.79789179089774243
0.0050952000000000002,0.036797763793581198,0.73396104921046801
0.0050958600000000007,0.03745952241710792,0.7992236813495911
0.0050965200000000002,0.03745952241710792,0.83285391525797059
0.0050971799999999998,0.03878303966416137,0.91742895894842735
0.0050978400000000002,0.03878303966416137,0.97303538531183786
0.0050985000000000006,0.03878303966416137,0.88579656071774471
0.0050991600000000002,0.039444798287688099,1.0166547976088847
0.0050998199999999997,0.039775677599451165,0.95205811069575974
0.0051004800000000001,0.039775677599451463,0.85050146374456193
0.0051011400000000005,0.040437436222978185,0.97037160440820147
0.0051018000000000001,0.040437436222978185,0.893787903428654
0.0051024599999999996,0.040437436222978185,0.95239108330860223
0.0051031200000000001,0.040437436222978185,0.93907217879047333
0.0051037800000000005,0.041099194846504913,0.94007109662933708
0.00510444,0.041760953470031635,0.96304620692320131
